"Tpeak,v","TTP,t,v","dT/dtMax,v","dT/dtMax,v","Tdur,v","Trest,v"
89.5287,232.0,0.76925,-0.33045,615.0,0.945852
39.2795,148.0,0.521,-0.2805,339.0,0.0321939
88.5725,177.0,1.0314,-0.3683,539.0,1.94989
107.405,240.0,0.9146,-0.3701,646.0,0.626212
64.9382,188.0,0.6396,-0.3046,524.0,0.294712
77.381,177.0,0.9271,-0.47155,393.0,0.0606064
67.0045,196.0,0.6046,-0.2935,580.0,0.151927
43.6895,171.0,0.467,-0.31455,369.0,0.0134879
44.3993,168.0,0.52295,-0.2566,421.0,0.0166343
16.5133,196.0,0.165955,-0.06875,552.0,0.528432
39.3822,151.0,0.5049,-0.18875,496.0,0.542486
12.3116,135.0,0.186005,-0.087125,349.0,0.0721162
51.3078,153.0,0.67245,-0.27485,445.0,0.308735
13.4645,158.0,0.175165,-0.08991,356.0,0.0560599
99.1911,199.0,1.0781,-0.43725,514.0,0.474398
27.3627,215.0,0.2364,-0.1204,577.0,0.109921
56.8958,237.0,0.43,-0.3239,486.0,0.0190263
34.9483,164.0,0.4049,-0.1786,480.0,0.225413
89.8952,175.0,0.9706,-0.48395,460.0,0.181719
33.0409,209.0,0.29505,-0.1583,525.0,0.171409
38.3428,204.0,0.34455,-0.1469,626.0,1.16302
100.862,214.0,0.85105,-0.4518,587.0,0.333332
39.997,221.0,0.3206,-0.1682,587.0,0.215329
12.6471,140.0,0.182695,-0.05306,575.0,0.0703433
49.9571,195.0,0.48995,-0.3189,411.0,0.0779828
43.3379,208.0,0.37685,-0.1521,655.0,1.64251
46.7469,158.0,0.5781,-0.196,565.0,1.14116
13.9923,190.0,0.14019,-0.06638,498.0,0.231822
40.4238,143.0,0.5494,-0.26525,355.0,0.055884
31.8191,171.0,0.3595,-0.1778,415.0,0.114093
44.6011,176.0,0.4894,-0.28585,390.0,0.0197148
11.5288,217.0,0.100945,-0.04565,648.0,0.226854
47.6775,280.0,0.30185,-0.15805,724.0,0.648268
15.7854,173.0,0.17734,-0.0801,473.0,0.354832
88.8306,190.0,0.9361,-0.45865,450.0,0.173664
43.7662,153.0,0.5961,-0.2892,349.0,0.0488901
91.4014,183.0,0.9779,-0.5575,411.0,0.0125981
34.7377,136.0,0.49425,-0.19305,406.0,0.38236
49.4906,151.0,0.6602,-0.31345,366.0,0.0953833
100.376,149.0,1.34815,-0.6359,366.0,0.0633595
49.9841,179.0,0.52935,-0.2278,531.0,0.446522
46.6023,147.0,0.65,-0.34475,319.0,0.00878611
31.7155,162.0,0.377,-0.1506,483.0,0.041363
25.2989,219.0,0.20581,-0.1112,557.0,0.136244
